,Unnamed: 0,USO_id,RMS,LUFS,dbFS,dist_group,centroid,flatness,onset_slope,time_cog,spectral_slope,centroid_control,onset_delay,onset_delay_avg
182,N_uso_300ms_11_room-10-35-3_dist-1320.wav,11,56.1587,-25.00004,-37.82336,4.0,7873.04065,0.25985,189.11137,0.24835,-6.63404,13178.0649,0.03864,0.03515
183,N_uso_300ms_2_room-10-35-3_dist-525.wav,2,55.67356,-25.00001,-38.31134,3.0,3675.95817,0.09463,150.72936,0.23923,-5.85078,5983.07423,0.01549,0.01476
184,N_uso_300ms_3_room-10-35-3_dist-1140.wav,3,55.52586,-25.56127,-38.46546,4.0,2941.1579,0.07133,118.61308,0.20539,-6.87118,6425.33807,0.00018,
185,N_uso_300ms_7_room-10-35-3_dist-18.wav,7,56.17382,-24.99998,-37.82336,1.0,3692.58019,0.04934,161.54849,0.1828,-6.3281,4387.34448,0.00073,0.00079
186,N_uso_300ms_22_room-10-35-3_dist-21.wav,22,54.37294,-24.99999,-39.62848,1.0,8326.43091,0.26584,98.28437,0.12264,-20.47882,11799.12829,0.00084,0.00081
187,N_uso_300ms_17_room-10-35-3_dist-2500.wav,17,54.8282,-25.48804,-39.15885,5.0,4730.48645,0.03641,132.13524,0.26543,-6.18371,6556.91326,0.07304,0.07304
188,N_uso_300ms_21_room-10-35-3_dist-475.wav,21,55.15243,-24.99999,-38.82837,3.0,2960.81136,0.03594,252.28045,0.24408,-9.49784,5953.88393,2e-05,2e-05
189,N_uso_300ms_3_room-10-35-3_dist-19.wav,3,53.87997,-25.00001,-40.12495,1.0,4773.66066,0.16669,122.08067,0.16105,-13.35913,6425.33807,9e-05,5e-05
190,N_uso_300ms_11_room-10-35-3_dist-20.wav,11,54.19958,-25.0,-39.78221,1.0,11911.01254,0.35793,178.21873,0.19063,-15.90322,13178.0649,0.00079,0.00079
191,N_uso_300ms_22_room-10-35-3_dist-2500.wav,22,53.92125,-25.754,-40.07133,5.0,5246.6716,0.13312,97.00797,0.19609,-7.92493,11799.12829,0.07302,0.07301
192,N_uso_300ms_10_room-10-35-3_dist-171.wav,10,54.26029,-25.00001,-39.73066,2.0,8457.48809,0.09322,192.16007,0.2099,-14.12435,9079.78731,0.00519,
